Municipio,Latitud,Longitud
Alameda,37.207778,-4.6581597
Alcaucín,36.9025563,-4.1140053
Alfarnate,36.9942627,-4.2604149
Alfarnatejo,36.9790622,-4.2724898
Algarrobo,36.7732439,-4.0399307
Algatocín,36.5738231,-5.2747134
Alhaurín de la Torre,36.6627542,-4.562753
Alhaurín el Grande,36.6421248,-4.6867447
Almáchar,36.808985,-4.2161584
Almargen,37.0024585,-5.0218486
Almogía,36.8261541,-4.5406993
Álora,36.8238814,-4.7063011
Alozaina,36.727762,-4.8579969
Alpandeire,36.6343447,-5.2028942
Antequera,37.0183652,-4.5596649
Árchez,36.8390459,-3.9907148
Archidona,37.0945779,-4.3906561
Ardales,36.8781793,-4.8468061
Arenas,36.8160239,-4.0441983
Arriate,36.7991421,-5.1407457
Atajate,36.6399535,-5.2450791
Benadalid,36.6062679,-5.2690514
Benahavís,36.5222736,-5.0441068
Benalauría,36.5942222,-5.261033
Benalmádena,36.594519,-4.572284
Benamargosa,36.8352646,-4.1935703
Benamocarra,36.7912509,-4.1616514
Benaoján,36.7188117,-5.2533743
Benarrabá,36.5508289,-5.2756812
El Borge,36.8145004,-4.2348314
El Burgo,36.7904469,-4.9480972
Campillos,37.0470137,-4.8621698
Canillas de Aceituno,36.8731665,-4.0821261
Canillas de Albaida,36.8461773,-3.9878112
Cañete la Real,36.9515951,-5.0246722
Carratraca,36.8539382,-4.8209062
Cartajima,36.6455316,-5.1539254
Cártama,36.7100716,-4.631539
Casabermeja,36.893528,-4.4287903
Casarabonela,36.7852106,-4.8430732
Casares,36.4433477,-5.2728863
Coín,36.6600506,-4.7565615
Colmenar,36.9053728,-4.3368078
Comares,36.8494448,-4.2480998
Cómpeta,36.832836,-3.9747057
Cortes de la Frontera,36.6170845,-5.3426714
Cuevas Bajas,37.2355805,-4.4884171
Cuevas de San Marcos,37.2679779,-4.4141396
Cuevas del Becerro,36.87586,-5.0440091
Cútar,36.8310343,-4.2287632
Estepona,36.4268068,-5.1468484
Faraján,36.6162231,-5.1882209
Frigiliana,36.7909126,-3.8953919
Fuengirola,36.5388398,-4.6233974
Fuente de Piedra,37.13528,-4.7298858
Gaucín,36.5192377,-5.3177544
Genalguacil,36.5456361,-5.2359435
Guaro,36.6561223,-4.834406
Humilladero,37.1134101,-4.7031305
Igualeja,36.6314956,-5.1211832
Istán,36.5819684,-4.9495445
Iznate,36.7762195,-4.1849082
Jimera de Líbar,36.6511847,-5.2742346
Jubrique,36.5642558,-5.2146149
Júzcar,None,None
Macharaviaya,36.7623774,-4.2138163
Málaga,36.7213028,-4.4216366
Manilva,36.3769979,-5.2489786
Marbella,36.508976,-4.88562
Mijas,36.5957471,-4.6375188
Moclinejo,36.7715925,-4.2554413
Mollina,37.1258671,-4.6578941
Monda,36.6300141,-4.8306127
Montecorto,36.8149906,-5.2983445
Montejaque,36.7338717,-5.2514725
Nerja,36.7468565,-3.8790164
Ojén,36.5645156,-4.8565007
Parauta,36.6559871,-5.1292424
Periana,36.9286023,-4.1908814
Pizarra,36.766795,-4.707687
Pujerra,36.6128751,-5.1493344
Rincón de la Victoria,36.7162109,-4.2793767
Riogordo,36.9152823,-4.2934765
Ronda,36.7421339,-5.1665916
Salares,36.8544153,-4.0241592
Sayalonga,36.7982701,-4.012961
Sedella,36.8617323,-4.0336554
Serrato,36.8849238,-4.9810084
Sierra de Yeguas,37.1243923,-4.8685644
Teba,36.9834861,-4.9202568
Tolox,36.6874219,-4.9050917
Torremolinos,36.6242841,-4.4995448
Torrox,36.7494528,-3.9547677
Totalán,36.7651731,-4.297405
Valle de Abdalajís,36.9311713,-4.682611
Vélez-Málaga,36.7818354,-4.0988099
Villanueva de Algaidas,37.1831293,-4.449969
Villanueva de la Concepción,36.9318977,-4.5304501
Villanueva de Tapia,37.1835699,-4.334301
Villanueva del Rosario,36.998599,-4.3660482
Villanueva del Trabuco,37.0283874,-4.337989
La Viñuela,36.5915006,-4.5629424
Yunquera,36.7346372,-4.9205956
