Municipio,Tiempo de Viaje (s),Tiempo Formateado
Málaga,697.8,11m 37s
Torremolinos,763.2,12m 43s
Alhaurín de la Torre,991.5,16m 31s
Cártama,1168.9,19m 28s
Benalmádena,1208.8,20m 08s
La Viñuela,1281.4,21m 21s
Casabermeja,1430.9,23m 50s
Fuengirola,1461.9,24m 21s
Mijas,1473.4,24m 33s
Rincón de la Victoria,1482.9,24m 42s
Pizarra,1848.7,30m 48s
Alhaurín el Grande,1892.4,31m 32s
Totalán,1896.1,31m 36s
Almogía,1939.2,32m 19s
Colmenar,2015.1,33m 35s
Coín,2113.4,35m 13s
Moclinejo,2208.5,36m 48s
Villanueva del Rosario,2245.2,37m 25s
Álora,2380.9,39m 40s
Vélez-Málaga,2397.5,39m 57s
Marbella,2421.9,40m 21s
Villanueva de la Concepción,2479.7,41m 19s
Iznate,2533.2,42m 13s
Riogordo,2553.1,42m 33s
Monda,2582.1,43m 02s
Villanueva del Trabuco,2582.9,43m 02s
Algarrobo,2629.6,43m 49s
Casarabonela,2658.6,44m 18s
Carratraca,2677.3,44m 37s
Archidona,2690.7,44m 50s
Benamocarra,2742.2,45m 42s
Ojén,2746.5,45m 46s
Antequera,2746.6,45m 46s
Torrox,2841.5,47m 21s
Ardales,2893.4,48m 13s
Guaro,2943.2,49m 03s
Almáchar,2944.3,49m 04s
Alozaina,2955.5,49m 15s
Nerja,3062.6,51m 02s
El Borge,3073.6,51m 13s
Mollina,3173.5,52m 53s
Villanueva de Tapia,3176.9,52m 56s
Sayalonga,3194.5,53m 14s
Benamargosa,3226.1,53m 46s
Arenas,3267.2,54m 27s
Tolox,3287.2,54m 47s
Valle de Abdalajís,3290.2,54m 50s
Istán,3300.7,55m 00s
Frigiliana,3316.8,55m 16s
Fuente de Piedra,3338.4,55m 38s
Humilladero,3341.4,55m 41s
Alfarnatejo,3446.3,57m 26s
Benahavís,3461.4,57m 41s
Comares,3475.3,57m 55s
Alfarnate,3526.3,58m 46s
Villanueva de Algaidas,3541.3,59m 01s
Cuevas Bajas,3555.8,59m 15s
Cútar,3568.6,59m 28s
Yunquera,3582.4,59m 42s
Canillas de Aceituno,3589.5,59m 49s
Estepona,3595.7,59m 55s
Alcaucín,3607.8,01h 00m 07s
Periana,3739,01h 02m 19s
Alameda,3783.2,01h 03m 03s
Árchez,3902.6,01h 05m 02s
Campillos,3941.6,01h 05m 41s
Teba,3972.6,01h 06m 12s
Canillas de Albaida,4043.6,01h 07m 23s
Cómpeta,4047.6,01h 07m 27s
Manilva,4131.7,01h 08m 51s
Cuevas de San Marcos,4182,01h 09m 42s
Sedella,4267.4,01h 11m 07s
El Burgo,4416.5,01h 13m 36s
Salares,4486.8,01h 14m 46s
Serrato,4501.2,01h 15m 01s
Sierra de Yeguas,4584.7,01h 16m 24s
Cuevas del Becerro,4741.7,01h 19m 01s
Cañete la Real,4899.6,01h 21m 39s
Almargen,4965.2,01h 22m 45s
Casares,5066.7,01h 24m 26s
Igualeja,5368.2,01h 29m 28s
Parauta,5716.5,01h 35m 16s
Pujerra,5788.3,01h 36m 28s
Arriate,5897.3,01h 38m 17s
Cartajima,5979.6,01h 39m 39s
Ronda,6025.3,01h 40m 25s
Genalguacil,6508.8,01h 48m 28s
Jubrique,6588.4,01h 49m 48s
Gaucín,6597.5,01h 49m 57s
Faraján,6732.4,01h 52m 12s
Alpandeire,7049.5,01h 57m 29s
Montecorto,7055,01h 57m 35s
Benaoján,7082.8,01h 58m 02s
Algatocín,7087.8,01h 58m 07s
Benarrabá,7116.7,01h 58m 36s
Atajate,7186.2,01h 59m 46s
Montejaque,7303.8,02h 01m 43s
Benadalid,7415.6,02h 03m 35s
Benalauría,7422.7,02h 03m 42s
Jimera de Líbar,7672.3,02h 07m 52s
Cortes de la Frontera,8557.3,02h 22m 37s
Júzcar,,N/A
Macharaviaya,,N/A
